Tale of Kieu 1871/page122_17.jpg	𨔍之國色天才沛緣
Luc Van Tien/nlvnpf-0059-004_9.jpg	之朋哙吏理芇朱明
Luc Van Tien/nlvnpf-0059-096_9.jpg	芇根原畧事情仍之
Tale of Kieu 1871/page030_9.jpg	劫尼催世時催群之
Tale of Kieu 1872/page09b_7.jpg	恩𢚸君子詫之𧵑淶
Tale of Kieu 1872/page27a_19.jpg	爫之時拱𠬠𫯳刼𨍦
Tale of Kieu 1871/page132_1.jpg	固爫之女丐命補𠫾
Tale of Kieu 1871/page111_1.jpg	徐朱歇刼群之󰑼身
Tale of Kieu 1871/page040_19.jpg	癡䜹𫽄別󰑼名分之
Tale of Kieu 1872/page43a_7.jpg	𢠩恾如聀占包別之
Tale of Kieu 1872/page63b_11.jpg	飭尼㐌易爫之特饒
Luc Van Tien/nlvnpf-0059-099_5.jpg	油朱奴𤯩爫之成身
Tale of Kieu 1872/page19b_17.jpg	浽貞群默買情之低
Tale of Kieu 1871/page113_5.jpg	緣些麻拱福𡗶之空
Tale of Kieu 1871/page090_17.jpg	才情之𡗋朱𡗶坦悭
Luc Van Tien/nlvnpf-0059-029_16.jpg	功名富貴爫之
Tale of Kieu 1871/page047_7.jpg	固些低拱𫽄干㨿之
Tale of Kieu 1866/page037b_13.jpg	拱料玉󰞺花殘麻之
Luc Van Tien/nlvnpf-0059-017_14.jpg	庒咍名姓󰑼之
Tale of Kieu 1866/page015b_21.jpg	浽𥢆群默貝情之低
Luc Van Tien/nlvnpf-0059-081_4.jpg	唐𠸗武后寔之
Tale of Kieu 1872/page27a_12.jpg	爫之罪报寃家
Tale of Kieu 1866/page047a_19.jpg	迡庒󰑼󰜋𢆥𡢐倍之
Tale of Kieu 1872/page06b_1.jpg	𤾓𠄼別固緣之咍空
Tale of Kieu 1871/page061_19.jpg	爫之捛𣜿朱弹昂宫
Tale of Kieu 1872/page37a_14.jpg	從之花貸香乘
Tale of Kieu 1871/page108_16.jpg	群之女𦑃花残
Tale of Kieu 1872/page45b_17.jpg	𧡊埃㝵𫇰拱停𥚆之
Luc Van Tien/nlvnpf-0059-017_15.jpg	𠬠𠇮芒笈麻𠫾役之
Tale of Kieu 1872/page31a_7.jpg	扒𠳒呌渚淶之麻𠁀
Tale of Kieu 1866/page065b_4.jpg	群之󰑼丐紅顔
Luc Van Tien/nlvnpf-0059-012_0.jpg	物之𠬠𡮇哙󰑼
Tale of Kieu 1866/page068b_6.jpg	固才麻𢚁之才
Tale of Kieu 1871/page056_7.jpg	𥐆𣈜催𠤆𨱽𠳒爫之
Tale of Kieu 1872/page39b_9.jpg	爫之氷󰘚扒𪀄苦𢚸
Tale of Kieu 1871/page078_12.jpg	牢𫽄別意思之
Tale of Kieu 1866/page039b_12.jpg	牢𫽄別意思之
Luc Van Tien/nlvnpf-0059-033_16.jpg	𢧚庒𡮇分之麻
Tale of Kieu 1872/page56b_5.jpg	補之󰠩𡊱𪀄篭麻制
Luc Van Tien/nlvnpf-0059-012_11.jpg	芇埃𠹾𥙩𧵑埃爫之
Tale of Kieu 1872/page07b_4.jpg	㨿之陳濁更𣅘
Luc Van Tien/nlvnpf-0059-082_4.jpg	爫之舌分紅顔
Tale of Kieu 1871/page064_14.jpg	計之仍浽育塘
Tale of Kieu 1872/page79a_10.jpg	緣箕固負之𠇮
Tale of Kieu 1866/page030b_10.jpg	分停之敢呌寃
Tale of Kieu 1866/page024b_16.jpg	仍碎固詫之碎
Tale of Kieu 1872/page08b_1.jpg	渃吟𥪝勿体之女󰠲
Tale of Kieu 1871/page040_2.jpg	翹群魚謹別之
Tale of Kieu 1872/page40a_8.jpg	計之仍浽肓塘
Tale of Kieu 1872/page55a_7.jpg	闭除𣾼𣷭𦋦𣾺管之
Tale of Kieu 1871/page063_19.jpg	爫之氷𬑉扒𪀄苦𢚸
Tale of Kieu 1872/page23a_7.jpg	傷之旦玉惜之旦香
Tale of Kieu 1872/page37b_8.jpg	分仃之敢呌寃
Luc Van Tien/nlvnpf-0059-050_12.jpg	仙浪翁𥙩之餒
Tale of Kieu 1866/page019b_0.jpg	催𡥵群呐之𡥵
Luc Van Tien/nlvnpf-0059-014_5.jpg	𰙔來币𫎇既𡴯隨享達日月長流用去
Tale of Kieu 1866/page011a_10.jpg	搊之仍堛清騷
Tale of Kieu 1871/page003_15.jpg	𠮿嗃外𨷶劎之燕鸚
Tale of Kieu 1866/page02b_12.jpg	負旁之貝化工
Luc Van Tien/nlvnpf-0059-036_0.jpg	𠰌之拱𬦼冲茄
Tale of Kieu 1872/page13b_4.jpg	䜹浪賎技詫之
Luc Van Tien/nlvnpf-0059-044_4.jpg	云仙之掣浽愁
Tale of Kieu 1871/page028_20.jpg	尾之󰜋󰌵紅顔
Tale of Kieu 1872/page10b_0.jpg	𡭧之𠴍咘𠬠𠄩
Tale of Kieu 1872/page04a_4.jpg	負旁之闭化工
Tale of Kieu 1872/page26b_0.jpg	傕时傕固惜之
Tale of Kieu 1871/page023_20.jpg	翁絲恄補之饒
Tale of Kieu 1866/page012a_20.jpg	翁絲恄補之饒
Tale of Kieu 1866/page011a_23.jpg	園紅之敢垠巢𫚳撑
Luc Van Tien/nlvnpf-0059-057_19.jpg	𫢩它𠯿𣇊庄和味之
Tale of Kieu 1871/page127_2.jpg	浽𢜠翁𥙩之斤
Tale of Kieu 1871/page102_21.jpg	仍類䏧襖襊粓詫之
Tale of Kieu 1872/page64a_16.jpg	爫之抵㗂󰡲𨍦
Luc Van Tien/nlvnpf-0059-034_16.jpg	𤻻瘼芇𧡊之󰦓
Tale of Kieu 1872/page14a_10.jpg	搊之仍堛簫騷
Tale of Kieu 1871/page133_16.jpg	𨔾𩂏𦅰纀少之
Tale of Kieu 1871/page078_11.jpg	局𢝙𢭮曲断膓󰀎之
Tale of Kieu 1866/page051b_0.jpg	󰞺昌劄胣掣之
Tale of Kieu 1866/page039b_11.jpg	𢭮𢝙𢭮曲断膓󰀎之
Tale of Kieu 1872/page34a_8.jpg	𨔍之声氣󰠋恒
Tale of Kieu 1872/page62b_6.jpg	𪮻昌劄胣掣之
Luc Van Tien/nlvnpf-0059-081_14.jpg	月娥別𠁂小人
Tale of Kieu 1872/page12a_19.jpg	初󰅒人定勝天拱𡗉
Tale of Kieu 1866/page031a_23.jpg	催時?浽不平󰑼衝
Tale of Kieu 1872/page62a_7.jpg	及師三合本󰑼先知
Tale of Kieu 1871/page121_6.jpg	事尼㐌外𨑮年
Luc Van Tien/nlvnpf-0059-099_6.jpg	歆浪洳量大人
Tale of Kieu 1866/page050b_5.jpg	害人人害事芇在些
Luc Van Tien/nlvnpf-0059-096_7.jpg	月娥娘意罪欺㐌仃
Tale of Kieu 1871/page095_3.jpg	同声拱㗇芇󰑼夫人
Luc Van Tien/nlvnpf-0059-058_12.jpg	明浪𫢩哙人兄
Luc Van Tien/nlvnpf-0059-011_2.jpg	汝句見󰒂不爲
Luc Van Tien/nlvnpf-0059-006_4.jpg	嘆浪天各一方
Luc Van Tien/nlvnpf-0059-093_19.jpg	月娥欺意哭和如湄
Luc Van Tien/nlvnpf-0059-100_5.jpg	状元子直漢明𨕭塘
Luc Van Tien/nlvnpf-0059-093_6.jpg	月娥訴事𠬠欺
Tale of Kieu 1866/page018b_3.jpg	麻些不動女𠊛生疑
Luc Van Tien/nlvnpf-0059-070_5.jpg	共爲貪色於𠁀中華
Tale of Kieu 1871/page036_3.jpg	𦓡些不動女𠊛生𪟽
Luc Van Tien/nlvnpf-0059-087_18.jpg	矯公遣於吏低
Tale of Kieu 1866/page038a_20.jpg	尋兜朱𧡊故人
Tale of Kieu 1871/page006_14.jpg	𬖉澄𧡊没文人
Tale of Kieu 1871/page106_16.jpg	官軍几吏𠊛戈
